doc_id,year,state_district,filing_type,last_name,first_name,prefix,suffix,filing_date,pdf_status,pdf_type,page_count,pdf_bytes,pdf_path,pdf_url
9113800,2018,TX03,D,Barone,Roger Richard,Mr.,,9/12/2018,stashed,image,1,33920,data/stashed/pdfs/2018/9113800.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113800.pdf
10024718,2018,AZ09,C,Baroness Von Behr,Irina,,,9/18/2018,stashed,text,4,92521,data/stashed/pdfs/2018/10024718.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024718.pdf
9114963,2018,KY06,O,Barr,"Garland ""Andy""",Hon.,,5/15/2019,stashed,image,6,226003,data/stashed/pdfs/2018/9114963.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114963.pdf
9113416,2018,KY06,P,Barr,"Garland ""Andy""",Hon.,,6/15/2018,stashed,image,1,32908,data/stashed/pdfs/2018/9113416.pdf,http://clerk.house.gov/public_disc/ptr-pdfs/2018/9113416.pdf
9114053,2018,,W,Barr,Robert,,,,stashed,image,1,31019,data/stashed/pdfs/2018/9114053.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9114053.pdf
10026162,2018,CA44,O,Barragan,Nanette,Hon.,,4/23/2019,stashed,text,4,90551,data/stashed/pdfs/2018/10026162.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10026162.pdf
10020708,2018,AR04,C,Barrett,Michael,,,4/20/2018,stashed,text,2,52760,data/stashed/pdfs/2018/10020708.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10020708.pdf
10022807,2018,CO07,C,Barrington,Mark,,,5/14/2018,stashed,text,2,59433,data/stashed/pdfs/2018/10022807.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10022807.pdf
9113485,2018,CO02,A,Barris,Roger,,,7/5/2018,stashed,image,9,219840,data/stashed/pdfs/2018/9113485.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113485.pdf
10024047,2018,CO02,C,Barris,Roger,,,6/26/2018,stashed,text,7,79424,data/stashed/pdfs/2018/10024047.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024047.pdf
9113946,2018,NJ07,D,Barsoom,Raafat,Dr.,,9/19/2018,stashed,image,1,31449,data/stashed/pdfs/2018/9113946.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113946.pdf
9113213,2018,,W,Bartlett,John,,,,stashed,image,1,32337,data/stashed/pdfs/2018/9113213.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/9113213.pdf
10023315,2018,FL27,C,Barzee Flores,Mary,,,7/30/2018,stashed,text,3,64097,data/stashed/pdfs/2018/10023315.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10023315.pdf
30004693,2018,FL27,X,Barzee Flores,Mary,,,6/6/2018,stashed,text,1,45010,data/stashed/pdfs/2018/30004693.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/30004693.pdf
10024033,2018,WA09,C,Basler,Douglas Michael,,,6/20/2018,stashed,text,2,56929,data/stashed/pdfs/2018/10024033.pdf,http://clerk.house.gov/public_disc/financial-pdfs/2018/10024033.pdf
