Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Beatty	Joyce		O	OH03	2017	5/15/2018	10021319
	Beauregard	Pierre Voteau		C	CA50	2017	5/4/2017	10016052
Hon.	Becerra	Xavier		T	CA34	2017	3/24/2017	10014578
Hon.	Becerra	Xavier		X	CA34	2017	2/27/2017	30002728
	Beck	Tobi		C	IN04	2017	5/29/2017	10017336
	Bedell	Eileen McNeil		C	VA07	2017	5/15/2017	10017161
	Bedolla	Mateo Morelos		D	CA10	2017	5/11/2017	40000777
	Bell	Adrienne		C	TX14	2017	6/9/2017	10017666
Mr.	Bell	James Jerome		C	OH11	2017	5/9/2018	10021975
Mr.	Bell	James Jerome		D	OH11	2017	1/4/2018	9112247
	Belote	Dave		C	VA02	2017	10/24/2017	10019172
	Belote	Dave		W		2017		9112170
	Belote	Dave		X	VA02	2017	8/1/2017	9111506
Dr.	Benac	David T.	II	C	MI06	2017	11/13/2017	10019383
Hon.	Benishek	Dan		T	MI01	2017	3/6/2017	10014495
Hon.	Benishek	Dan		X	MI01	2017	2/24/2017	30002720
	Bennett	Douglas R.		A	IL10	2017	8/9/2017	10018532
	Bennett	Douglas R.		C	IL10	2017	7/15/2017	10018095
	Bennett	Douglas R.		D	IL10	2017	5/18/2017	9110796
	Bennett	James McKay		C	UT03	2017	2/7/2018	10019865
Hon.	Bentivolio	Kerry L.		C	MI11	2017	3/9/2018	9112549
	Bentley	Robert		D	CA36	2017	1/26/2018	9112321
	Bequette	David Allan		A	IL12	2017	8/21/2017	10018717
	Bequette	David Allan		C	IL12	2017	8/21/2017	10017431
	Bequette	David Allan		X	IL12	2017	7/12/2017	30003539
Hon.	Bera	Ami		A	CA07	2017	7/18/2018	10024061
Hon.	Bera	Ami		O	CA07	2017	5/14/2018	10022187
Hon.	Bergman	John		A	MI01	2017	6/28/2018	10024080
Hon.	Bergman	John		O	MI01	2017	5/15/2018	10022879
	Bethel	Lander Louis	Jr.	C	TX04	2017	2/8/2018	10019871
	Bevens	Matthew Ryan		A	KS02	2017	2/15/2018	10019905
	Bevens	Matthew Ryan		C	KS02	2017	2/14/2018	10019899
Hon.	Beyer	Donald Sternoff	Jr.	O	VA08	2017	5/9/2018	10021650
	Bhuiyan	Mohammad Ali		C	GA06	2017	3/16/2017	10014648
