Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/2/2020	20014985
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/2/2020	20014986
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/13/2020	20015060
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/13/2020	20015061
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015067
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015068
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/15/2020	20015069
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/16/2020	20016066
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/16/2020	20016067
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016094
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016095
Hon.	Lowenthal	Alan S.		P	CA47	2020	2/21/2020	20016096
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016213
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016214
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016215
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016216
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016217
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016218
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016219
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016220
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016221
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016222
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016223
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016224
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/10/2020	20016225
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/11/2020	20016229
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/14/2020	20016246
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/14/2020	20016247
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/17/2020	20016259
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/17/2020	20016260
Hon.	Lowenthal	Alan S.		P	CA47	2020	3/17/2020	20016261
	Madrigal	Raul Ali		C	CA32	2020	2/11/2020	10033621
	Malgieri	Anthony		D	CO07	2020	3/17/2020	8217091
Hon.	Maloney	Carolyn B.		P	NY12	2020	2/19/2020	20016074
	Mangas Moniz	Rachel Olivia		C	CA02	2020	1/25/2020	10033500
	Marcano	Carlos Cruz	Jr.	D	IN03	2020	1/29/2020	40002855
	Marcano	Carlos Cruz	Jr.	D	IN03	2020	1/30/2020	8216943
Hon.	Marshall	Roger W.		P	KS01	2020	1/9/2020	20013879
Hon.	Mast	Brian		P	FL18	2020	2/3/2020	20014991
Hon.	Mast	Brian		P	FL18	2020	3/4/2020	20016167
	Mata	Jason	Sr.	C	TX35	2020	2/2/2020	10033578
	Mayberry	Matt		X	NH01	2020	2/10/2020	8216967
Hon.	McCaul	Michael T.		P	TX10	2020	2/19/2020	8216973
Hon.	McKinley	David B.		P	WV01	2020	1/6/2020	20013840
	Meehan	Ryan		X	CT05	2020	3/3/2020	8217040
	Moyer	Eric		C	OH10	2020	2/18/2020	10034654
Hon.	Norton	Eleanor Holmes		P	DC00	2020	3/7/2020	20016183
Mr.	Opela	Michael Paul Mr	Sr	C	WI07	2020	2/18/2020	10033649
	Parker	David Payne		D	NC10	2020	2/12/2020	8216981
	Patel	Eshan		D	NC01	2020	2/20/2020	8216990
	Patel	Suraj		C	NY12	2020	1/16/2020	8216932
Hon.	Pelosi	Nancy		P	CA12	2020	2/11/2020	20015042
Hon.	Pelosi	Nancy		P	CA12	2020	3/3/2020	20016155
Hon.	Peters	Scott H.		P	CA52	2020	2/17/2020	20015024
Hon.	Phillips	Dean		P	MN03	2020	1/9/2020	20013881
Hon.	Phillips	Dean		P	MN03	2020	2/7/2020	20015014
Hon.	Phillips	Dean		P	MN03	2020	3/12/2020	20016196
Hon.	Pingree	Chellie		P	ME01	2020	2/5/2020	20014996
Hon.	Price	David E.		P	NC04	2020	2/4/2020	20015008
